file_name	collection_name	collection_id	selectable	custom_coverage	open_access	collection_url	record_count
degruyter_global_1861-4167_2022-01-11.txt	Interface Explorations [IE]	IE-B	yes	no	no		34
degruyter_global_1861-4175_2022-01-11.txt	Language, Power and Social Process [LPSP]	LPSP-B	yes	no	no		28
degruyter_global_1861-4191_2022-01-11.txt	Phonology and Phonetics [PP]	PP-B	yes	no	no		29
degruyter_global_1861-4248_2022-01-11.txt	Studies on Language Acquisition [SOLA]	SOLA-B	yes	no	no		60
degruyter_global_1861-4272_2022-01-11.txt	Text, Translation, Computational Processing [TTCP]	TTCP-B	yes	no	no		11
degruyter_global_1861-4302_2022-01-11.txt	Trends in Linguistics. Studies and Monographs [TiLSM]	TILSM-B	yes	no	no		352
degruyter_global_1861-4396_2022-01-11.txt	Schriften der Theodor Fontane Gesellschaft	SFG-B	yes	no	no		14
degruyter_global_1861-454X_2022-01-11.txt	Schriften zur Europäischen Rechtswissenschaft / European Legal Studies / Etudes juridiques européenes	ELS-B	yes	no	no		10
degruyter_global_1861-5090_2022-01-11.txt	Handbücher zur Sprach- und Kommunikationswissenschaft / Handbooks of Linguistics and Communication Science [HSK]	HSK-B	yes	no	no		98
degruyter_global_1861-5651_2022-01-11.txt	Studia Linguistica Germanica	STLG-B	yes	no	no		137
degruyter_global_1861-566X_2022-01-11.txt	Schriften des Instituts für Deutsche Sprache	SIDS-B	yes	no	no		21
degruyter_global_1861-5678_2022-01-11.txt	Historia Hermeneutica. Series Studia	HHS-B	yes	no	no		21
degruyter_global_1861-5996_2022-01-11.txt	Arbeiten zur Kirchengeschichte	AKG-B	yes	no	no		142
degruyter_global_1861-6003_2022-01-11.txt	Commentaries on Early Jewish Literature	CEJL-B	yes	no	no		10
degruyter_global_1861-6011_2022-01-11.txt	Hans-Lietzmann-Vorlesungen	HLV-B	yes	no	no		18
degruyter_global_1861-602X_2022-01-11.txt	Fontes et Subsidia ad Bibliam pertinentes	FOSUB-B	yes	no	no		10
degruyter_global_1861-6038_2022-01-11.txt	Schleiermacher-Archiv	SCHLARCH-B	yes	no	no		31
degruyter_global_1861-7476_2022-01-11.txt	Planet Communication	PC-B	yes	no	no		1
